City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Geraldton,AU,86.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
20,Ransang,PH,84.31,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
26,Saint-Philippe,RE,80.15,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
35,Vaini,TO,80.28,overcast clouds,-21.2,-175.2,Keleti Beach Resort
37,Inhambane,MZ,75.09,clear sky,-23.865,35.3833,Oceano
40,Rikitea,PF,78.93,clear sky,-23.1203,-134.9692,People ThankYou
43,Georgetown,MY,86.9,few clouds,5.4112,100.3354,Cititel Penang
46,Atuona,PF,77.32,light rain,-9.8,-139.0333,Villa Enata
48,Alofi,NU,81.09,light rain,-19.0595,-169.9187,Taloa Heights
49,Avarua,CK,75.25,light rain,-21.2078,-159.775,Paradise Inn
51,Nhulunbuy,AU,90.21,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
55,Kapaa,US,78.78,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
56,Sao Joao Da Barra,BR,75.29,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
64,Lorengau,PG,84.16,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
65,Hilo,US,76.24,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
70,Tecoanapa,MX,79.27,broken clouds,16.5167,-98.75,Hotel Manglares
75,Butaritari,KI,81.0,moderate rain,3.0707,172.7902,Isles Sunset Lodge
76,Nisia Floresta,BR,81.41,clear sky,-6.0911,-35.2086,Rancho Crepusculo
78,Buchanan,LR,78.04,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
86,Faanui,PF,80.51,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
91,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
96,Sokoni,TZ,79.7,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
97,Arraial Do Cabo,BR,75.24,few clouds,-22.9661,-42.0278,Pousada Porto Praia
99,Mahebourg,MU,81.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
102,Oranjestad,AW,78.55,clear sky,12.524,-70.027,Divi Village Golf & Beach Resort
118,Kavaratti,IN,80.76,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
125,Carnarvon,AU,86.59,clear sky,-24.8667,113.6333,Hospitality Carnarvon
130,Byron Bay,AU,77.05,light rain,-28.65,153.6167,Backpackers Inn
137,Batticaloa,LK,79.92,broken clouds,7.7102,81.6924,Grand Star Guest House
140,Busselton,AU,85.05,clear sky,-33.65,115.3333,Observatory Guest House
141,Male,MV,82.06,scattered clouds,4.1748,73.5089,Hotel Octave Maldives
143,Luanda,AO,78.8,scattered clouds,-8.8368,13.2343,Hotel Fórum
144,Hithadhoo,MV,82.22,broken clouds,-0.6,73.0833,Scoop Guest House
146,Monrovia,LR,78.53,few clouds,6.3005,-10.7969,Sunset Inn
148,Neiafu,TO,84.88,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
149,Kahului,US,77.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
154,Pangkalanbuun,ID,88.38,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
159,Yulara,AU,94.41,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
163,Howard Springs,AU,91.98,overcast clouds,-12.497,131.047,buffalo beach hostel
191,Bathsheba,BB,75.54,few clouds,13.2167,-59.5167,Atlantis Hotel
194,Robertsport,LR,78.75,clear sky,6.7533,-11.3686,Kwepunha Retreat
201,Kavieng,PG,84.0,light rain,-2.5744,150.7967,Nusa Island Retreat
203,Naifaru,MV,81.28,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
209,Rabaul,PG,85.62,scattered clouds,-4.1967,152.1721,Rabaul Hotel
210,Tumut,AU,88.54,overcast clouds,-35.3,148.2167,Amaroo Motel
216,Razole,IN,75.49,clear sky,16.4833,81.8333,Sterling Palavelli Godavari
