City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chokurdakh,RU,70.6333,147.9167,-13.85,98,79,8.37,broken clouds
1,Saldanha,ZA,-33.0117,17.9442,63.68,90,0,13.27,clear sky
2,Khatanga,RU,71.9667,102.5,-27.47,100,49,2.8,scattered clouds
3,Hermanus,ZA,-34.4187,19.2345,66.9,78,80,18.34,broken clouds
4,Port Hedland,AU,-20.3167,118.5667,98.65,39,16,17.27,few clouds
5,Kidal,ML,18.4411,1.4078,63.59,19,26,11.99,scattered clouds
6,Thompson,CA,55.7435,-97.8558,-22.65,100,56,4.52,broken clouds
7,Geraldton,AU,-28.7667,114.6,86.41,58,0,11.5,clear sky
8,Great Falls,US,47.5002,-111.3008,40.41,60,0,12.66,clear sky
9,Bilibino,RU,68.0546,166.4372,-23.75,98,84,2.01,broken clouds
10,Mataura,NZ,-46.1927,168.8643,72.55,35,100,3.62,overcast clouds
11,Fortuna,US,40.5982,-124.1573,56.43,95,100,0.0,overcast clouds
12,Ushuaia,AR,-54.8,-68.3,40.66,70,40,26.46,scattered clouds
13,Albany,US,42.6001,-73.9662,21.15,63,33,5.01,scattered clouds
14,Goundam,ML,16.4145,-3.6708,62.28,22,46,10.13,scattered clouds
15,Parsons,US,37.3403,-95.2611,28.69,44,3,5.7,clear sky
16,Lavrentiya,RU,65.5833,-171.0,-20.2,93,13,4.05,few clouds
17,Lebu,CL,-37.6167,-73.65,56.88,92,98,6.38,overcast clouds
18,Lapithos,CY,35.3375,33.1792,52.23,72,30,9.86,scattered clouds
19,Kholmogory,RU,64.2229,41.656,15.91,94,100,9.08,snow
20,Ransang,PH,8.9603,117.5828,84.31,67,94,4.09,overcast clouds
21,Puerto Ayora,EC,-0.7393,-90.3518,74.55,94,96,2.44,overcast clouds
22,Husavik,IS,66.0449,-17.3389,16.32,80,95,17.09,overcast clouds
23,Zeya,RU,53.75,127.2667,10.69,69,100,3.47,overcast clouds
24,Road Town,VG,18.4167,-64.6167,73.99,75,5,21.52,clear sky
25,Bluff,NZ,-46.6,168.3333,58.78,62,100,3.44,overcast clouds
26,Saint-Philippe,RE,-21.3585,55.7679,80.15,84,37,10.71,scattered clouds
27,Tocopilla,CL,-22.092,-70.1979,70.52,72,18,6.15,few clouds
28,Port Lincoln,AU,-34.7333,135.8667,72.05,68,14,11.81,few clouds
29,Formosa Do Rio Preto,BR,-11.0483,-45.1931,68.63,98,29,2.71,scattered clouds
30,Suez,EG,29.9737,32.5263,51.31,83,34,9.08,scattered clouds
31,East London,ZA,-33.0153,27.9116,70.88,83,17,11.56,light rain
32,Punta Arenas,CL,-53.15,-70.9167,42.91,61,20,12.66,few clouds
33,Ames,US,42.0347,-93.6199,16.03,77,75,8.05,broken clouds
34,Port Elizabeth,ZA,-33.918,25.5701,67.77,84,96,15.26,light rain
35,Vaini,TO,-21.2,-175.2,80.28,71,88,16.15,overcast clouds
36,Cape Town,ZA,-33.9258,18.4232,68.34,79,0,5.01,clear sky
37,Inhambane,MZ,-23.865,35.3833,75.09,82,0,7.45,clear sky
38,Kyren,RU,51.6828,102.1408,-2.63,90,95,0.43,overcast clouds
39,Bethel,US,41.3712,-73.414,26.56,62,100,11.5,overcast clouds
40,Rikitea,PF,-23.1203,-134.9692,78.93,71,2,14.38,clear sky
41,Cidreira,BR,-30.1811,-50.2056,68.68,88,24,3.4,few clouds
42,Yellowknife,CA,62.456,-114.3525,-21.44,92,68,5.01,broken clouds
43,Georgetown,MY,5.4112,100.3354,86.9,71,20,4.61,few clouds
44,Longyearbyen,SJ,78.2186,15.6401,15.64,92,75,0.0,light snow
45,Havoysund,NO,70.9963,24.6622,23.88,80,100,14.85,snow
46,Atuona,PF,-9.8,-139.0333,77.32,80,20,13.96,light rain
47,Am Timan,TD,11.0297,20.2827,72.64,16,97,6.85,overcast clouds
48,Alofi,NU,-19.0595,-169.9187,81.09,74,99,13.35,light rain
49,Avarua,CK,-21.2078,-159.775,75.25,88,75,8.05,light rain
50,High Level,CA,58.5169,-117.136,3.31,78,100,0.0,light snow
51,Nhulunbuy,AU,-12.2333,136.7667,90.21,55,40,14.97,scattered clouds
52,Severo-Kurilsk,RU,50.6789,156.125,26.73,68,71,16.44,broken clouds
53,Mulchen,CL,-37.7167,-72.2333,57.18,79,91,2.64,overcast clouds
54,Pacifica,US,37.6138,-122.4869,68.16,77,40,12.66,scattered clouds
55,Kapaa,US,22.0752,-159.319,78.78,65,0,18.41,clear sky
56,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,89,54,13.49,broken clouds
57,New Norfolk,AU,-42.7826,147.0587,69.91,54,97,1.99,overcast clouds
58,Wapakoneta,US,40.5678,-84.1936,14.76,82,0,4.61,clear sky
59,Taoudenni,ML,22.6783,-3.9836,58.66,27,0,12.24,clear sky
60,Kitakami,JP,39.2833,141.1167,34.66,61,8,5.95,clear sky
61,Hay River,CA,60.8156,-115.7999,-14.3,98,94,4.41,overcast clouds
62,Ribeira Grande,PT,38.5167,-28.7,57.94,68,100,3.0,overcast clouds
63,Yar-Sale,RU,66.8333,70.8333,-20.4,99,100,7.11,overcast clouds
64,Lorengau,PG,-2.0226,147.2712,84.16,72,87,2.68,overcast clouds
65,Hilo,US,19.7297,-155.09,76.24,74,0,8.05,clear sky
66,Provideniya,RU,64.3833,-173.3,-5.69,65,0,11.18,clear sky
67,Plomarion,GR,38.9767,26.3681,45.72,73,18,8.61,few clouds
68,Zhigansk,RU,66.7697,123.3711,-28.59,97,69,2.48,broken clouds
69,Khandbari,NP,27.3747,87.2039,58.44,45,1,1.52,clear sky
70,Tecoanapa,MX,16.5167,-98.75,79.27,70,71,3.62,broken clouds
71,Barrow,US,71.2906,-156.7887,-27.38,68,0,8.05,clear sky
72,The Pas,CA,53.8251,-101.2541,-6.74,99,68,5.26,broken clouds
73,Nome,US,64.5011,-165.4064,-5.73,59,0,6.91,clear sky
74,Westport,US,41.1415,-73.3579,28.38,64,100,11.5,overcast clouds
75,Butaritari,KI,3.0707,172.7902,81.0,78,51,12.15,moderate rain
76,Nisia Floresta,BR,-6.0911,-35.2086,81.41,82,1,6.4,clear sky
77,Saint-Augustin,CA,51.226,-58.6502,-24.59,93,43,4.92,scattered clouds
78,Buchanan,LR,5.8808,-10.0467,78.04,87,20,3.98,light rain
79,Jamestown,US,42.097,-79.2353,15.12,72,100,3.44,overcast clouds
80,Ayagoz,KZ,47.9714,80.4392,11.91,97,100,2.3,overcast clouds
81,Amapa,BR,1.0,-52.0,72.12,99,100,2.35,overcast clouds
82,Ilulissat,GL,69.2167,-51.1,6.82,72,100,13.8,light snow
83,Talnakh,RU,69.4865,88.3972,-8.32,70,11,8.7,few clouds
84,Raga,SS,8.4596,25.678,66.9,16,58,4.74,broken clouds
85,Port Hardy,CA,50.6996,-127.4199,44.94,78,100,8.16,overcast clouds
86,Faanui,PF,-16.4833,-151.75,80.51,76,100,12.44,light rain
87,Igrim,RU,63.1906,64.4162,-22.56,100,99,2.51,overcast clouds
88,Aklavik,CA,68.2191,-135.0107,-23.08,98,100,11.5,light snow
89,Knysna,ZA,-34.0363,23.0471,67.73,92,100,9.6,light rain
90,Rabat,MA,33.9911,-6.8401,54.05,93,61,3.44,mist
91,Tautira,PF,-17.7333,-149.15,84.22,78,72,16.53,light rain
92,Walvis Bay,NA,-22.9575,14.5053,73.09,84,35,3.04,scattered clouds
93,Esperance,AU,-33.8667,121.9,72.12,58,71,11.07,broken clouds
94,Pisco,PE,-13.7,-76.2167,68.05,77,0,9.22,clear sky
95,Turayf,SA,31.6725,38.6637,44.92,37,0,8.81,clear sky
96,Sokoni,TZ,-6.4333,39.55,79.7,77,98,7.05,overcast clouds
97,Arraial Do Cabo,BR,-22.9661,-42.0278,75.24,92,11,15.43,few clouds
98,Hasaki,JP,35.7333,140.8333,43.29,56,100,25.75,overcast clouds
99,Mahebourg,MU,-20.4081,57.7,81.25,87,100,13.8,light rain
100,Lemoore,US,36.3008,-119.7829,70.27,55,0,3.44,clear sky
101,Tucuman,AR,-26.8241,-65.2226,60.8,94,0,6.91,clear sky
102,Oranjestad,AW,12.524,-70.027,78.55,80,0,23.64,clear sky
103,Ampanihy,MG,-24.7,44.75,74.53,70,0,5.77,clear sky
104,Ust-Tsilma,RU,65.441,52.1498,2.75,98,94,4.34,overcast clouds
105,Lucapa,AO,-8.4192,20.7447,64.76,96,100,0.72,overcast clouds
106,Bredasdorp,ZA,-34.5322,20.0403,65.28,71,100,15.48,overcast clouds
107,Port Alfred,ZA,-33.5906,26.891,68.72,88,72,18.68,light rain
108,Kadarkut,HU,46.2362,17.6201,28.4,82,3,6.6,clear sky
109,Ornskoldsvik,SE,63.2909,18.7153,29.35,86,75,3.44,broken clouds
110,Thisted,DK,56.9552,8.6949,43.2,92,100,23.4,light rain
111,Qaanaaq,GL,77.484,-69.3632,-8.32,69,74,7.16,broken clouds
112,Norman Wells,CA,65.282,-126.8329,-3.15,97,100,1.43,overcast clouds
113,Skagen,DK,57.7209,10.5839,39.27,92,100,24.58,light rain
114,Tuktoyaktuk,CA,69.4541,-133.0374,-33.65,100,69,7.29,broken clouds
115,Hualmay,PE,-11.0964,-77.6139,71.1,81,100,9.71,overcast clouds
116,Te Anau,NZ,-45.4167,167.7167,69.37,45,100,1.28,overcast clouds
117,Linguere,SN,15.3953,-15.1193,68.76,22,47,9.69,scattered clouds
118,Kavaratti,IN,10.5669,72.642,80.76,71,2,7.31,clear sky
119,Saint-Louis,SN,16.3333,-15.0,68.79,18,98,9.93,overcast clouds
120,Sao Filipe,CV,14.8961,-24.4956,73.15,68,83,10.89,broken clouds
121,Umm Kaddadah,SD,13.6017,26.6876,62.06,21,0,17.72,clear sky
122,Sarlat-La-Caneda,FR,44.889,1.2166,50.67,87,100,9.66,light rain
123,Lebanon,US,36.2081,-86.2911,35.65,61,40,5.75,scattered clouds
124,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.25,90,100,1.21,overcast clouds
125,Carnarvon,AU,-24.8667,113.6333,86.59,62,6,6.2,clear sky
126,Castro,BR,-24.7911,-50.0119,64.4,90,89,1.88,overcast clouds
127,Ponta Do Sol,PT,32.6667,-17.1,61.43,73,92,1.66,overcast clouds
128,Mao,ES,39.8885,4.2658,54.16,82,75,13.8,broken clouds
129,Tromso,NO,69.6496,18.957,26.62,80,75,9.22,broken clouds
130,Byron Bay,AU,-28.65,153.6167,77.05,83,56,13.09,light rain
131,Hofn,IS,64.2539,-15.2082,22.84,67,49,9.15,scattered clouds
132,Leningradskiy,RU,69.3833,178.4167,-17.27,90,78,5.88,broken clouds
133,Ossora,RU,59.2353,163.0719,1.92,79,81,7.38,broken clouds
134,Muslyumovo,RU,55.3033,53.1947,-2.43,100,100,2.75,overcast clouds
135,Mushie,CD,-3.0167,16.9,70.63,93,83,3.02,broken clouds
136,Cahors,FR,44.4167,1.3333,49.5,95,100,7.94,overcast clouds
137,Batticaloa,LK,7.7102,81.6924,79.92,75,81,11.01,broken clouds
138,Pevek,RU,69.7008,170.3133,-16.04,97,100,8.12,overcast clouds
139,Fukue,JP,32.6881,128.8419,53.31,59,7,19.37,clear sky
140,Busselton,AU,-33.65,115.3333,85.05,43,0,7.34,clear sky
141,Male,MV,4.1748,73.5089,82.06,74,47,9.71,scattered clouds
142,Dvinskoy,RU,62.1535,45.1175,14.38,94,100,8.5,light snow
143,Luanda,AO,-8.8368,13.2343,78.8,78,40,3.44,scattered clouds
144,Hithadhoo,MV,-0.6,73.0833,82.22,73,64,12.75,broken clouds
145,Siguiri,GN,11.6667,-9.5,69.6,18,15,3.6,few clouds
146,Monrovia,LR,6.3005,-10.7969,78.53,86,23,5.53,few clouds
147,San Patricio,US,28.017,-97.5169,53.83,45,95,8.43,overcast clouds
148,Neiafu,TO,-18.65,-173.9833,84.88,70,20,9.22,few clouds
149,Kahului,US,20.8947,-156.47,77.02,69,40,13.8,scattered clouds
150,Mar Del Plata,AR,-38.0023,-57.5575,64.87,72,0,1.01,clear sky
151,Mandalgovi,MN,45.7625,106.2708,-2.51,87,75,10.98,broken clouds
152,Sambava,MG,-14.2667,50.1667,73.51,90,22,5.28,few clouds
153,Hami,CN,42.8,93.45,27.07,40,17,7.2,few clouds
154,Pangkalanbuun,ID,-2.6833,111.6167,88.38,59,89,3.89,overcast clouds
155,Filingue,NE,14.3521,3.3168,72.93,11,0,8.12,clear sky
156,Kulunda,RU,52.566,78.9385,-6.99,100,39,4.72,scattered clouds
157,Salalah,OM,17.0151,54.0924,71.69,17,1,10.36,clear sky
158,Hobart,AU,-42.8794,147.3294,70.27,70,100,11.5,overcast clouds
159,Yulara,AU,-25.2406,130.9889,94.41,9,4,12.82,clear sky
160,West Wendover,US,40.7391,-114.0733,43.03,45,0,2.57,clear sky
161,Kodiak,US,57.79,-152.4072,33.31,75,0,3.44,clear sky
162,Leua,SK,48.2156,18.6071,37.36,81,7,11.12,clear sky
163,Howard Springs,AU,-12.497,131.047,91.98,65,100,5.28,overcast clouds
164,Tura,IN,25.5198,90.2201,65.97,50,0,2.35,clear sky
165,Upernavik,GL,72.7868,-56.1549,4.59,93,100,26.53,light snow
166,Ambositra,MG,-20.5167,47.25,58.87,99,66,2.46,broken clouds
167,Codrington,AU,-38.2667,141.9667,71.91,59,21,11.12,few clouds
168,San Quintin,MX,30.4833,-115.95,66.4,39,0,7.43,clear sky
169,Tiksi,RU,71.6872,128.8694,-11.36,91,20,9.95,few clouds
170,Wilmington,US,34.2257,-77.9447,44.94,76,40,8.05,scattered clouds
171,Narsaq,GL,60.9167,-46.05,23.22,96,100,6.02,snow
172,Lompoc,US,34.6391,-120.4579,65.79,92,100,3.44,mist
173,Turukhansk,RU,65.8167,87.9833,-6.88,88,36,12.26,scattered clouds
174,Bereda,ES,43.2686,-7.5406,42.55,100,92,6.22,overcast clouds
175,Mayfield,US,36.7417,-88.6367,30.4,73,0,9.91,clear sky
176,Vostok,RU,46.4856,135.8833,16.29,85,100,3.58,overcast clouds
177,Nizhniy Odes,RU,63.6445,54.856,-0.6,100,100,4.5,overcast clouds
178,Saint-Prosper,CA,46.2117,-70.4811,4.68,93,84,5.44,broken clouds
179,Atocha,BO,-20.9333,-66.2333,51.33,69,58,6.31,broken clouds
180,Ostrovnoy,RU,68.0531,39.5131,21.24,83,100,26.93,overcast clouds
181,Egvekinot,RU,66.3167,-179.1667,-17.41,90,13,7.05,few clouds
182,Komsomolskiy,UZ,40.4272,71.7189,36.32,87,100,4.61,mist
183,Juneau,US,58.3019,-134.4197,33.84,94,100,0.0,fog
184,Pimentel,PE,-6.8367,-79.9342,72.93,76,97,9.46,overcast clouds
185,Tasiilaq,GL,65.6145,-37.6368,23.16,89,100,22.64,light snow
186,Boca Do Acre,BR,-8.7522,-67.3978,72.05,96,100,1.66,overcast clouds
187,Saint Anthony,US,45.0205,-93.218,8.44,78,100,13.8,overcast clouds
188,Verkhoyansk,RU,67.5447,133.385,-14.24,86,91,1.3,overcast clouds
189,Solnechnyy,RU,50.7214,136.6319,14.59,84,100,6.46,overcast clouds
190,Shache,CN,38.4167,77.2406,31.91,46,3,3.85,clear sky
191,Bathsheba,BB,13.2167,-59.5167,75.54,78,12,17.29,few clouds
192,Umm Lajj,SA,25.0213,37.2685,65.88,31,0,9.66,clear sky
193,Dikson,RU,73.5069,80.5464,-5.51,90,82,23.29,broken clouds
194,Robertsport,LR,6.7533,-11.3686,78.75,87,7,6.96,clear sky
195,Kushima,JP,31.4583,131.2333,53.11,75,100,8.95,overcast clouds
196,Tukrah,LY,32.5341,20.5791,51.1,80,8,3.2,clear sky
197,Faya,SA,18.3851,42.4509,45.12,62,10,2.53,clear sky
198,Sakakah,SA,29.9697,40.2064,47.82,33,0,3.53,clear sky
199,Mokolo,CM,10.7398,13.8019,67.71,17,97,6.69,overcast clouds
200,Vila Velha,BR,-20.3297,-40.2925,73.94,96,11,7.65,few clouds
201,Kavieng,PG,-2.5744,150.7967,84.0,71,89,4.54,light rain
202,Qeshm,IR,26.9581,56.2719,66.67,61,7,10.76,clear sky
203,Naifaru,MV,5.4444,73.3657,81.28,72,93,4.03,overcast clouds
204,Orotukan,RU,62.2667,151.7,-18.38,91,82,2.51,broken clouds
205,Lagoa,PT,39.05,-27.9833,56.55,59,100,3.42,overcast clouds
206,Deputatskiy,RU,69.3,139.9,-11.52,95,97,4.74,overcast clouds
207,Abu Dhabi,AE,24.4667,54.3667,62.96,80,0,3.44,clear sky
208,Victoria,HK,22.2855,114.1577,67.03,67,36,11.99,scattered clouds
209,Rabaul,PG,-4.1967,152.1721,85.62,67,50,8.7,scattered clouds
210,Tumut,AU,-35.3,148.2167,88.54,26,97,7.7,overcast clouds
211,Avera,US,33.194,-82.5271,46.27,36,0,14.09,clear sky
212,Lisieux,FR,49.1667,0.1667,46.13,88,100,15.97,overcast clouds
213,Hirara,JP,24.8,125.2833,64.45,80,100,21.92,overcast clouds
214,Keokuk,US,40.3973,-91.3849,18.16,73,75,6.91,broken clouds
215,Chuy,UY,-33.6971,-53.4616,58.37,66,6,8.66,clear sky
216,Razole,IN,16.4833,81.8333,75.49,63,7,4.7,clear sky
217,Maroantsetra,MG,-15.4333,49.7333,75.34,87,68,2.06,broken clouds
218,Sobolevo,RU,54.4299,31.8996,21.99,89,98,12.08,overcast clouds
219,Caravelas,BR,-17.7125,-39.2481,74.66,93,97,4.27,overcast clouds
220,Sal Rei,CV,16.1833,-22.9167,70.36,72,99,19.98,overcast clouds
221,Panguna,PG,-6.3164,155.4848,80.01,70,98,3.89,light rain
222,Payo,ID,-3.7508,103.6372,85.89,65,85,1.79,light rain
223,Nabire,ID,-3.3667,135.4833,87.71,61,85,5.14,overcast clouds
224,Nikolskoye,RU,59.7035,30.7861,37.87,92,100,11.48,overcast clouds
225,Camapua,BR,-19.5314,-54.0439,78.94,55,72,3.06,broken clouds
226,Quang Ngai,VN,15.1167,108.8,73.2,92,100,6.76,overcast clouds
227,Aswan,EG,24.0934,32.907,56.97,32,0,9.44,clear sky
228,Ancud,CL,-41.8697,-73.8203,59.43,95,8,1.39,clear sky
229,Kathu,TH,7.9178,98.3332,88.63,73,63,10.89,broken clouds
230,Cherskiy,RU,68.75,161.3,-21.32,97,94,6.06,overcast clouds
231,Rorvik,NO,64.8621,11.2373,35.73,57,99,19.35,overcast clouds
232,Torbay,CA,47.6666,-52.7314,31.75,87,100,10.0,overcast clouds
233,Paita,PE,-5.0892,-81.1144,73.56,80,94,7.94,overcast clouds
234,Bend,US,44.0582,-121.3153,56.48,32,0,9.22,clear sky
235,Beringovskiy,RU,63.05,179.3167,-21.21,95,33,10.49,scattered clouds
236,Gornopravdinsk,RU,60.05,69.9,2.73,97,100,3.36,overcast clouds
237,Nantucket,US,41.2835,-70.0995,36.14,91,100,21.99,snow
238,Udachnyy,RU,66.4167,112.4,-13.86,83,9,0.76,clear sky
239,Beira,MZ,-19.8436,34.8389,75.29,100,40,6.91,scattered clouds
240,Laguna,US,38.421,-121.4238,67.33,59,0,4.61,clear sky
241,Misratah,LY,32.3754,15.0925,56.5,71,40,8.88,scattered clouds
242,Cap Malheureux,MU,-19.9842,57.6142,81.46,79,100,8.99,overcast clouds
243,Korla,CN,41.7597,86.1469,29.82,48,9,2.26,clear sky
244,Bengkulu,ID,-3.8004,102.2655,83.57,66,97,3.02,overcast clouds
245,Clyde River,CA,70.4692,-68.5914,-14.57,76,100,26.46,light snow
246,Saint George,US,37.1041,-113.5841,59.34,22,0,1.99,clear sky
247,Ustynivka,UA,47.9551,32.5367,29.17,59,0,4.79,clear sky
248,Pauini,BR,-7.7136,-66.9764,72.79,99,100,2.1,overcast clouds
249,Souillac,MU,-20.5167,57.5167,81.36,94,75,9.22,light rain
250,Grand Gaube,MU,-20.0064,57.6608,81.37,79,100,8.99,overcast clouds
251,Katsuura,JP,35.1333,140.3,46.11,67,99,22.97,overcast clouds
252,Nouakchott,MR,18.0858,-15.9785,66.13,39,98,9.46,overcast clouds
253,Jega,NG,12.2175,4.3792,71.08,13,1,9.26,clear sky
254,Boguchany,RU,58.3814,97.4531,-12.64,97,53,3.71,broken clouds
255,College,US,64.8569,-147.8028,8.29,82,100,4.61,light snow
256,Lamar,US,33.6668,-95.5836,46.38,42,0,0.0,clear sky
257,Barranca,PE,-10.75,-77.7667,71.55,78,100,7.65,overcast clouds
258,Mosquera,CO,4.7059,-74.2302,53.69,94,75,2.3,light intensity drizzle
259,Neryungri,RU,56.6709,124.6491,-14.06,95,68,3.89,broken clouds
260,Sikandarabad,IN,28.45,77.7,55.62,69,0,3.6,clear sky
261,Kerman,IR,30.2832,57.0788,31.86,86,40,4.61,scattered clouds
262,Grootfontein,NA,-19.5667,18.1167,65.46,88,100,4.97,light rain
263,Kant,IN,27.8,79.8,56.75,64,0,2.26,clear sky
264,Bafoulabe,ML,13.8065,-10.8321,73.08,14,23,5.12,few clouds
265,Magadan,RU,59.5667,150.8,9.68,66,100,8.32,overcast clouds
266,Grand-Lahou,CI,5.1367,-5.0242,78.3,86,70,6.06,broken clouds
267,Marseille,FR,43.3333,5.5,47.75,89,96,3.0,overcast clouds
268,Broken Hill,AU,-31.95,141.4333,93.22,20,98,7.09,overcast clouds
269,Acapulco,MX,16.8634,-99.8901,80.42,78,75,5.75,broken clouds
270,Banda Aceh,ID,5.5577,95.3222,82.98,68,76,7.16,broken clouds
271,Wawa,NG,9.9022,4.4192,77.29,21,24,6.15,few clouds
272,Yermakovskoye,RU,53.2831,92.4003,1.42,81,100,4.36,overcast clouds
273,Carutapera,BR,-1.195,-46.02,77.09,90,100,6.4,overcast clouds
274,San-Pedro,CI,4.7485,-6.6363,75.79,91,100,4.68,overcast clouds
275,Sydney,AU,-33.8679,151.2073,84.74,62,75,20.71,broken clouds
276,Tual,ID,-5.6667,132.75,81.03,75,82,8.37,broken clouds
277,Luderitz,NA,-26.6481,15.1594,70.48,70,0,8.99,clear sky
278,Shelburne,CA,44.0787,-80.2041,7.56,99,100,2.46,overcast clouds
279,Ahipara,NZ,-35.1667,173.1667,70.77,55,15,11.45,few clouds
280,Khairpur Nathan Shah,PK,27.0936,67.7337,60.19,31,12,8.14,few clouds
281,Dzhebariki-Khaya,RU,62.2167,135.8,-22.49,93,77,1.05,broken clouds
282,Honiara,SB,-9.4333,159.95,80.74,87,98,6.42,light rain
283,Constitucion,CL,-35.3333,-72.4167,58.77,90,69,2.08,broken clouds
284,Airai,TL,-8.9266,125.4092,74.17,56,23,2.46,few clouds
285,Maple Creek,CA,49.9168,-109.4848,34.21,74,99,5.75,overcast clouds
286,Viedma,AR,-40.8135,-62.9967,78.85,18,0,11.95,clear sky
287,Kendari,ID,-3.945,122.4989,84.67,70,82,0.31,broken clouds
288,Jumla,NP,29.2747,82.1838,42.04,43,0,2.71,clear sky
289,Uvarovka,RU,55.5278,35.6061,22.73,85,100,11.52,overcast clouds
290,Sitka,US,57.0531,-135.33,42.69,81,100,10.36,overcast clouds
291,Sulam,IL,32.6061,35.3341,50.23,79,99,4.05,overcast clouds
292,Takoradi,GH,4.8845,-1.7554,78.37,86,100,6.29,overcast clouds
293,Alekseyevsk,RU,57.8406,108.3492,-14.4,94,64,1.12,broken clouds
294,Sabzevar,IR,36.2126,57.6819,34.88,64,0,11.5,clear sky
295,Anloga,GH,5.7947,0.8973,80.82,81,100,13.78,overcast clouds
296,Nouadhibou,MR,20.931,-17.0347,64.38,72,99,16.11,overcast clouds
297,Tandil,AR,-37.3217,-59.1332,57.87,62,0,5.91,clear sky
298,Brokopondo,SR,4.75,-55.1667,74.53,93,44,6.73,scattered clouds
299,Necochea,AR,-38.5473,-58.7368,58.23,53,0,7.02,clear sky
300,Vao,NC,-22.6667,167.4833,80.47,81,99,12.21,overcast clouds
